#{"t_start": 1719444434.7339237, "env_id": "CleanupSingle-v0"}
r,l,t
-45,45,68.512448
-42,42,68.595801
-47,47,68.736113
-49,49,68.847982
-42,42,68.938208
-41,41,69.016865
-46,46,69.098852
-63,63,69.223713
356163
-41,41,2.463381
-48,48,2.59242
-52,52,2.729824
-59,59,2.883953
-46,46,2.993802
-78,78,3.210843
-74,74,3.410646
-45,45,3.514403
-41,41,3.614651
-64,64,3.796999
-34,34,5.410306
-46,46,5.702051
-44,44,5.980729
-42,42,6.252668
-53,53,6.605815
-37,37,6.827297
-48,48,7.175629
-49,49,7.523607
-45,45,7.819854
-47,47,8.175745
-47,47,8.558374
-47,47,8.88166
-47,47,9.229548
-47,47,9.585561
-46,46,9.864702
-43,43,10.12583
-40,40,10.392576
-45,45,10.660848
-53,53,10.999695
-73,73,11.536639
-51,51,11.844871
-52,52,12.819821
-47,47,13.071037
-47,47,13.389508
-41,41,13.630759
-54,54,13.974579
-49,49,14.294747
-51,51,14.629122
-44,44,14.8808
-50,50,15.183442
-44,44,15.482768
-55,55,15.814767
-57,57,16.171589
-52,52,16.500884
-41,41,16.7495
-56,56,17.077413
-41,41,17.328021
-37,37,17.562837
-47,47,17.836543
-42,42,18.104499
-52,52,18.424847
-42,42,18.668073
-52,52,19.592426
-55,55,19.858093
-40,40,20.088522
-49,49,20.375191
-49,49,20.671221
-41,41,20.908982
-44,44,21.202999
-46,46,21.491129
-53,53,21.802787
-53,53,22.132698
-42,42,22.399539
-53,53,22.715524
-47,47,23.02949
-40,40,23.268313
-47,47,23.557287
-94,94,24.213883
-49,49,24.542582
-42,42,24.802124
-44,44,25.05715
-50,50,25.366318
-48,48,26.250121
-200,200,27.745278
-39,39,27.945597
-44,44,28.227173
-39,39,28.484431
-47,47,28.750362
-38,38,28.983686
-60,60,29.358395
-43,43,29.637638
-66,66,30.043895
-47,47,30.304396
-41,41,30.545602
-45,45,30.833421
-47,47,31.134776
-43,43,31.379338
-43,43,31.638697
-39,39,31.859675
-37,37,32.115805
-61,61,32.54668
-54,54,33.449828
-37,37,33.692533
-39,39,33.946603
-50,50,34.28998
-47,47,34.581968
-50,50,34.881373
-72,72,35.301117
-37,37,35.555121
-117,117,36.423802
-48,48,36.706757
-43,43,36.961859
-60,60,37.381959
-58,58,37.728891
-53,53,38.051047
-53,53,38.38834
-49,49,38.682607
-57,57,39.062418
-48,48,39.351685
-37,37,40.140387
-65,65,40.523699
-49,49,40.82732
-39,39,41.079754
-45,45,41.377043
-50,50,41.66522
-43,43,41.926085
-52,52,42.250157
-61,61,42.634274
-41,41,42.872977
-45,45,43.169847
-54,54,43.501517
-46,46,43.783152
-53,53,44.111819
-40,40,44.356233
-57,57,44.710207
-40,40,44.953112
-47,47,45.266579
-49,49,45.544963
-64,64,45.925498
-200,200,48.282124
-48,48,48.595393
-41,41,48.840596
-41,41,49.078758
-45,45,49.346553
-43,43,49.647079
-62,62,50.05922
-169,169,51.317279
-43,43,51.578613
-52,52,51.874661
-49,49,52.183002
-42,42,52.422862
-108,108,53.22273
-60,60,53.56797
-46,46,53.829969
-41,41,54.638629
-57,57,54.947794
-48,48,55.177651
-47,47,55.464983
-53,53,55.769647
-49,49,56.065459
-45,45,56.334568
-42,42,56.604383
-50,50,56.885946
-45,45,57.176248
-46,46,57.471181
-43,43,57.734026
-54,54,58.054404
-47,47,58.435995
-45,45,58.711145
-40,40,58.94279
-45,45,59.16053
-44,44,59.421361
-52,52,59.726654
-51,51,60.194394
-194,194,62.340814
-51,51,62.635839
-56,56,62.954628
-43,43,63.201994
-46,46,63.494946
-45,45,63.743116
-53,53,64.022928
-42,42,64.271845
-49,49,64.560019
-46,46,64.831579
-200,200,66.410842
-45,45,66.64383
-44,44,66.87389
-42,42,67.075183
-47,47,67.356269
-44,44,67.66346
-54,54,69.441085
-48,48,69.733412
-45,45,69.992423
-51,51,70.28892
-47,47,70.554683
-48,48,70.840682
-46,46,71.099133
-45,45,71.376029
-56,56,71.70383
-50,50,71.983241
-48,48,72.276868
-40,40,72.538711
-46,46,72.81862
-41,41,73.04699
-42,42,73.300163
-69,69,73.685294
-177,177,74.997621
-46,46,75.21534
-39,39,75.983333
-58,58,76.267653
-43,43,76.555237
-46,46,76.817801
-44,44,77.079919
-47,47,77.340531
-39,39,77.596934
-48,48,77.912062
-42,42,78.16541
-37,37,78.417507
-51,51,78.72982
-49,49,79.047871
-40,40,79.279572
-45,45,79.576143
-44,44,79.846399
-49,49,80.158365
-49,49,80.47769
-43,43,80.76387
-54,54,81.094462
-51,51,81.392836
-46,46,81.651481
-42,42,81.8827
-51,51,82.738111
-37,37,82.930453
-53,53,83.223763
-69,69,83.679012
-42,42,83.923541
-37,37,84.09589
-36,36,84.297854
-55,55,84.631896
-50,50,84.921412
-86,86,85.544029
-47,47,85.855372
-46,46,86.133606
-44,44,86.423376
-40,40,86.655341
-42,42,86.883324
-47,47,87.201718
-67,67,87.62277
-52,52,87.907712
-40,40,88.108726
-51,51,88.426805
-50,50,89.271619
-50,50,89.552845
-48,48,89.805431
-43,43,90.078304
-46,46,90.337416
-41,41,90.60156
-52,52,90.905531
-41,41,91.131834
-40,40,91.361858
-200,200,92.910659
-56,56,93.189394
-43,43,93.445987
-39,39,93.661049
-47,47,93.938212
-44,44,94.203057
-61,61,94.615892
-47,47,94.90284
-47,47,95.213894
-48,48,96.037238
-52,52,96.352434
-47,47,96.624782
-49,49,96.939052
-52,52,97.276289
-42,42,97.563736
-48,48,97.850338
-50,50,98.138514
-44,44,98.421194
-45,45,98.706569
-39,39,98.962185
-40,40,99.192912
-51,51,99.522227
-55,55,99.847337
-42,42,100.068995
-46,46,100.34499
-53,53,100.70605
-47,47,100.977299
-41,41,101.222135
-56,56,101.549145
-48,48,101.865807
-60,60,102.775509
-51,51,103.020258
-52,52,103.306674
-49,49,103.605517
-43,43,103.861032
-51,51,104.146867
-47,47,104.418614
-47,47,104.722211
-40,40,104.965849
-52,52,105.283102
-52,52,105.57142
-44,44,105.83395
-50,50,106.121964
-39,39,106.347658
-52,52,106.66703
-44,44,106.971267
-61,61,107.342713
-35,35,107.549027
-44,44,107.839015
-79,79,108.395736
-48,48,109.207639
-37,37,109.428351
-54,54,109.803147
-49,49,110.122448
-48,48,110.428782
-44,44,110.689862
-46,46,110.970134
-45,45,111.247063
-46,46,111.534641
-46,46,111.847681
